------- OpenWECD.AeroL 叶片子文件 vs AeroDyn v15.00.* This software design and writen By 赵子祯 -------------------------------------
NREL 15.0 MW offshore baseline aerodynamic blade input properties; note that we need to add the aerodynamic center to this file
======  Blade Properties =================================================================
         50   NumBlNds           - Number of blade nodes used in the analysis (-)
BlSpn	BlCrvAC	BlSwpAC	BlCrvAng	BlTwist	BlChord	BlAFID	Pitch
(m)	(m)	(m)	(deg)	(deg)	(m)	(-)	(-)
0.000000000000000E+00	-6.354122360450850E-03	-2.276626484469560E-02	9.291281525327390E-01	1.559455301971170E+01	5.200000000000000E+00	1 	0.504545454545454 
2.387753704536790E+00	3.236481948738080E-02	5.005748522338990E-02	8.707285997270110E-01	1.558773861176880E+01	5.208839941579520E+00	2 	0.490018680801222 
4.775507409073580E+00	6.621685687511680E-02	8.694386659281710E-02	6.376768648563600E-01	1.541083467878350E+01	5.237887092263200E+00	3 	0.472700182845483 
7.163261113610370E+00	8.551302257769900E-02	5.307191353698230E-02	3.623009655957600E-01	1.494855563474360E+01	5.293325313383690E+00	4 	0.454014773061037 
9.551014818147170E+00	9.641383525966470E-02	-2.834268227993910E-02	2.309264254802590E-01	1.425845480678570E+01	5.367339854814920E+00	5 	0.434647782591965 
1.193876852268390E+01	1.047603018628690E-01	-1.352768396731960E-01	2.332510218907780E-01	1.339714163725620E+01	5.452092684226660E+00	6 	0.415627885195060 
1.432652222722070E+01	1.158548641787530E-01	-2.434441389056810E-01	3.537684475592490E-01	1.242201947682700E+01	5.540031728503840E+00	7 	0.397937872127393 
1.671427593175750E+01	1.342461230233620E-01	-3.188598483871040E-01	5.253284774395150E-01	1.139457131628070E+01	5.621824261194380E+00	8 	0.381299607456174 
1.910202963629430E+01	1.596395008211900E-01	-3.469958526716610E-01	5.163676654488630E-01	1.037097608496840E+01	5.692531175149330E+00	9 	0.365492051569910 
2.148978334083110E+01	1.772839218313780E-01	-3.819068650570520E-01	3.195122177856610E-01	9.403999874823050E+00	5.742610890726970E+00	10 	0.351607808344728 
2.387753704536790E+01	1.862701718402890E-01	-4.162773967965840E-01	1.573444757446640E-01	8.551522201182070E+00	5.764836827022540E+00	11 	0.340084431287691 
2.626529074990470E+01	1.903983042803920E-01	-4.350341475278320E-01	1.228376274409480E-01	7.833153039627240E+00	5.756119529852520E+00	12 	0.331067067596559 
