------- OpenWECD.AeroL 叶片子文件 vs AeroDyn v15.00.* This software design and writen By 赵子祯 -------------------------------------
NREL 5.0 MW offshore baseline aerodynamic blade input properties; note that we need to add the aerodynamic center to this file
======  Blade Properties =================================================================
         19   NumBlNds           - Number of blade nodes used in the analysis (-)
BlSpn	BlCrvAC	BlSwpAC	BlCrvAng	BlTwist	BlChord	BlAFID	Pitch
(m)	(m)	(m)	(deg)	(deg)	(m)	(-)	(-)
0.000 	0.000 	0.000 	0.000 	13.310 	3.542 	1.000 	0.500 
1.367 	-0.001 	-0.003 	0.000 	13.310 	3.542 	1.000 	0.499 
4.100 	-0.025 	-0.105 	0.000 	13.310 	3.854 	1.000 	0.472 
6.833 	-0.059 	-0.251 	0.000 	13.310 	4.167 	2.000 	0.438 
10.250 	-0.109 	-0.461 	0.000 	13.310 	4.557 	3.000 	0.396 
14.350 	-0.116 	-0.570 	0.000 	11.480 	4.652 	4.000 	0.375 
18.450 	-0.098 	-0.549 	0.000 	10.160 	4.458 	4.000 	0.375 
22.550 	-0.083 	-0.525 	0.000 	9.011 	4.249 	5.000 	0.375 
26.650 	-0.068 	-0.496 	0.000 	7.795 	4.007 	6.000 	0.375 
30.750 	-0.053 	-0.465 	0.000 	6.544 	3.748 	6.000 	0.375 
34.850 	-0.041 	-0.436 	0.000 	5.361 	3.502 	7.000 	0.375 
38.950 	-0.030 	-0.406 	0.000 	4.188 	3.256 	7.000 	0.375 
43.050 	-0.021 	-0.376 	0.000 	3.125 	3.010 	8.000 	0.375 
47.150 	-0.014 	-0.345 	0.000 	2.319 	2.764 	8.000 	0.375 
51.250 	-0.008 	-0.315 	0.000 	1.526 	2.518 	8.000 	0.375 
54.670 	-0.004 	-0.289 	0.000 	0.863 	2.313 	8.000 	0.375 
57.400 	-0.002 	-0.261 	0.000 	0.370 	2.086 	8.000 	0.375 
60.130 	0.000 	-0.177 	0.000 	0.106 	1.419 	8.000 	0.375 
61.500 	0.000 	-0.177 	0.000 	0.106 	0.519 	8.000 	0.375 


